Word,Function,Definition,Origin,,,,,,
a,Objects and Concept,I (the first person pronoun).,Sinitic,,我,,,,
aa,Particle,"an interjection. Pronounced like ""a"" but extended, higher in pitch, or otherwise more emphasized.",a priori,,,,,,
aca,Objects and Concept,morning,Koreo-Japonic,ko,아침,ja,あさ,,
aca (ji) sikko,Objects and Concept,breakfast,Compound,,,,,,
aka,Objects and Concept,"baby, infant, toddler",Koreo-Japonic,ko,아가,ja,あかちゃん,,
aki,Objects and Concept,"autumn, fall",Koreo-Japonic,ja,あき,,,,
aksala,Objects and Concept,"alphabet, abugida",Sanskrit,,अक्षर ,,(akṣara),,
alkohol,Objects and Concept,alcohol,Arabic,,,,,,
alon,Objects and Concept,wave,Austronesian,ms/id/jv,alun,tg,alon,,
along,Quality,color / stain,Koreo-Japonic,ko,알록,ja,いろ,,
amahi,Quality,"yummy, tasty, sweet",Koreo-Japonic,ko,맛있다,ja,うまい,,
amelika maya,Objects and Concept,Maya (umbrella term for mutliple ethnic groups in Central America),Western: Spanish,es,maya,,,,
angeng,Objects and Concept,eyeglasses,Sinitic,,眼鏡,,,,
andeng,Quality,stable,Sinitic,,安定,,,,
ang'in,Objects and Concept,wind,Austronesian,ms/id,angin ,tl,hangin,,
anjwen,Quality,safe,Sinitic,,安全,,,,
anmen,Objects and Concept,face (human),Sinitic,,顔面,,,,
anben,Objects and Concept,shore,Sinitic,,岸邊,,,,
anumi,Objects and Concept,darkness,Koreo-Japonic,ko,어둠,jp,やみ,,
apae,Quality,forward; before; ahead; front,Koreo-Japonic,ko,앞,ja,まえ,,
apjadu,Objects and Concept,abjad,Arabic,,,,,,
apwi,Objects and Concept,fire,Austronesian,ms/id,api,,,,
apwiboti,Objects and Concept,Mars,Compound,,apwi + boti,,,,
apwihali,Objects and Concept,tuesday,Compound,,apwi + hali,,,,
apwiko,Objects and Concept,"hearth, fire place, cooking heat",Compound,,apwi + ko,,,,
asu,Objects and Concept,"dog, puppy",Austronesian,ms/id,asu,tl,aso,,
ata,Objects and Concept,"eight (standalone; also see ""bat"")",Sanskrit,,अष्ट,,aṣṭá,,
atwi,Quality,backward; after; behind,Koreo-Japonic,ko,뒤,ja,あと,,
awan,Objects and Concept,cloud,Austronesian,ms/id,awan,,,,
ay,Action,love,Sinitic,,愛,,,,
ayam,Objects and Concept,chicken,Austronesian,ms/id,ayam,,,,
baba,Objects and Concept,"dad, father, papa",N/A,,,,,,
babey,Objects and Concept,pig,Austronesian,ms/id,babi,tl,baboi,,
badak,Objects and Concept,rhino,Austronesian,ms/id,badak,,,,
"baji, bajila",Objects and Concept,lightening,Sanskrit,,वज्र ,,(vájra) ,,
bala,Objects and Concept,plains; land,Koreo-Japonic,ko,벌,ja,はら,,
bam,Objects and Concept,evening; night,Koreo-Japonic,ko,밤,ja,ばん,,
bam (ji) sikko,Objects and Concept,dinner,Compound,,,,,,
bama,Objects and Concept,parents,Sinitic,,父母,,,,
bambu,Objects and Concept,bamboo,Austronesian,ms/id,bambu,,,,
bomhap,Quality,together,Sinitic,,凡合,,,,
bana(l),Quality,"yes, true, right",Austronesian,ms/id,benar,tg,banal,,
banbun,Objects and Concept,half,Sinitic,,半分,,,,
banday,Objects and Concept,"stairs, ladder",Austroasiatic,th,บันได,lo,ຂັ້ນໄດ,,
bang,Particle,"to, towards, (destination marker), (delative)",Sinitic,,方,,,,
bang,Objects and Concept,stick; staff,Sinitic,,棒,,,,
banmay,Action,"sell, trade",Sinitic,,販賣,,,,
banmey,Objects and Concept,rice,Sinitic,,飯米,,,,
basu,Objects and Concept,bus,Western: English,en,bus,,,,
bat,Objects and Concept,"eight (compounds; also see ""asata"")",Sinitic,,八,,,,
bat,Particle,"from, (origin marker), (ablative)",Sinitic,,發,,,,
batgaw,Action,fermenting,Sinitic,,醱酵,,,,
batgen,Action,"find, discover",Sinitic,,發見,,,,
bati,Objects and Concept,bees; insects in general,Koreo-Japonic,ko,벌,ja,はち,,
batu,Objects and Concept,rock,Austronesian,ms/id,batu,,,,
bawang,Objects and Concept,Alliums,Austronesian,ms/id,bawang,,,,
bawho,Action,"protect, cherish",Sinitic,,保護,,,,
bawyu,Action,"have, possess",Sinitic,,保有,,,,
bay,Objects and Concept,cup,Sinitic,,杯,,,,
bay,Objects and Concept,back,Sinitic,,背,,,,
baybek,Action,lose,Sinitic,,敗北,,,,
bek,Objects and Concept,hundred,Sinitic,,百,,,,
bekhap,Objects and Concept,"lily, lesbian (slang) ",Sinitic,,百合,,,,
bekhongsyek,Quality,pink,Sinitic,,白虹色,,,,
beksyek,Quality,white,Sinitic,,白色,,,,
ben,Action,"change, edit, alter",Sinitic,,變,,,,
benci,Quality,hate,Austronesian,ms/id,benci,,,,
beng,Objects and Concept,"sick, illness",Sinitic,,病,,,,
benghwan,Objects and Concept,hospital,Sinitic,,病院,,,,
bengtan,Quality,flat; smooth; horizontal,Sinitic,,平坦,,,,
bengtan senghwa,Action,"lie (down), lay",Compound,,,,,,
bentay,Quality,"perverse, hentai, pervert",Sinitic,,變態,,,,
bey,Action,"contraction of ""but cey""",Compound,,,,,,
"bey, bet",Action,close; shut,Sinitic,,閉,,,,
bi'amahi,Quality,"bland, tasteless",Compound,,bi + amahi,,,,
bian,Objects and Concept,"see ""palamita"", ""bi'an ji candala"", or ""bi'anhwa""",Sinitic,,彼岸,,,,
bianhwa,Objects and Concept,red spider lily,Sinitic,,彼岸花,,,,
biay,Quality,"sad, sorrow, grief",Sinitic,,悲哀,,,,
bigaw,Action,"compare, comparison",Sinitic,,比較,,,,
bihenggi,Objects and Concept,airplane,Sinitic,,飛行機,,,,
bikali,Objects and Concept,"shine, glow, light",Koreo-Japonic,ko,빛,ja,ひかり,,
bikon,Quality,"tired, exhausted",Sinitic,,疲困,,,,
binkon,Quality,poor,Sinitic,,貧困,,,,
bit,Action,must,Sinitic,,必,,,,
bityaw,Action,need,Sinitic,,必要,,,,
bobo,Quality,stupid,Austronesian,tg,bobo,,,,
boksu,Objects and Concept,box,Western: English ,en,box,,,,
bokul,Action,boil,Sound-based,,,,,,
boncaw,Objects and Concept,herbs,Sinitic,,本草,,,,
bongmit,Objects and Concept,honey,Sinitic,,蜂蜜,,,,
boti,Objects and Concept,star,Koreo-Japonic,ko,별,ja,ほし,,
bu'e,Objects and Concept,"boat, ship",Koreo-Japonic,ko,배,ja,ふね,,
bulengket,Objects and Concept,blanket,Western: English,en,blanket,,,,
bun,Objects and Concept,minute,Sinitic,,分,,,,
bunga,Objects and Concept,flower,Austronesian,ms/id,bunga,,,,
buni,Objects and Concept,"sound, noise",Austronesian,ms/id,bunyi,tl,bunyi,,
bunsyek,Action,analyze; (ling) Analytic,Sinitic,,分析,,,,
