Manmino,English,Function,Origin,Korean,Japanese,Sanskrit,Chinese,Malaysian,Indonesian,Javanese,Tagalog,Khmer,Lao,Thai,Turkish,Arabic,Spanish,Portuguese,Mongolian,Vietnamese
a,I (the first person pronoun).,Objects and Concept,Sinitic,,,,我,,,,,,,,,,,,,
aa,"an interjection. Pronounced like ""a"" but extended; higher in pitch; or otherwise more emphasized.",Particle,a priori,,,,,,,,,,,,,,,,,
aca,morning,Objects and Concept,Koreo-Japonic,아침,あさ,,,,,,,,,,,,,,,
aca (ji) sikko,breakfast,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
aka,baby; infant; toddler,Objects and Concept,Koreo-Japonic,아가,あかちゃん,,,,,,,,,,,,,,,
aki,autumn; fall,Objects and Concept,Koreo-Japonic,,あき,,,,,,,,,,,,,,,
aksala,alphabet; abugida,Objects and Concept,Sanskrit,,,अक्षर (akṣara),,,,,,,,,,,,,,
alkohol,alcohol,Objects and Concept,Arabic,,,,,,,,,,,,,,,,,
alon,wave,Objects and Concept,Austronesian,,,,,alun,alun,alun,alon,,,,,,,,,
along,color / stain,Quality,Koreo-Japonic,알록,いろ,,,,,,,,,,,,,,,
amahi,yummy; tasty; sweet,Quality,Koreo-Japonic,맛있다,うまい,,,,,,,,,,,,,,,
amelika,America (continent); the United States of America,Objects and Concept,Western: English,,,,,,,,,,,,,,,,,
amelika maya,Maya (an umbrella term for multiple ethnic groups in Central America),Objects and Concept,Western: Spanish,,,,,,,,,,,,,,maya,,,
angeng,eyeglasses,Objects and Concept,Sinitic,,,,眼鏡,,,,,,,,,,,,,
andeng,stable,Quality,Sinitic,,,,安定,,,,,,,,,,,,,
ang'in,wind,Objects and Concept,Austronesian,,,,,angin,angin,,hangin,,,,,,,,,
anjwen,safe,Quality,Sinitic,,,,安全,,,,,,,,,,,,,
anmen,face (human),Objects and Concept,Sinitic,,,,顔面,,,,,,,,,,,,,
anben,shore,Objects and Concept,Sinitic,,,,岸邊,,,,,,,,,,,,,
anumi,darkness,Objects and Concept,Koreo-Japonic,어둠,やみ,,,,,,,,,,,,,,,
apae,forward; before; ahead; front,Quality,Koreo-Japonic,앞,まえ,,,,,,,,,,,,,,,
apjadu,abjad,Objects and Concept,Arabic,,,,,,,,,,,,,,,,,
apwi,fire,Objects and Concept,Austronesian,,,,,api,api,,,,,,,,,,,
apwiboti,Mars,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
apwihali,tuesday,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
apwiko,hearth; fire place; cooking heat,Objects and Concept,Compound,,,,,,,,,,,,,,,,,
asu,dog; puppy,Objects and Concept,Austronesian,,,,,asu,asu,,aso,,,,,,,,,
ata,"eight (standalone; also see ""bat"")",Objects and Concept,Sanskrit,,,अष्ट aṣṭá,,,,,,,,,,,,,,
atwi,backward; after; behind,Quality,Koreo-Japonic,뒤,あと,,,,,,,,,,,,,,,
